cian_base2
cian_id ;rooms;metro;adress;square;house;price;description;renovation
279451115;3;м. Ховрино ;Москва, Ленинградское шоссе, 128к2;107.2/66.1/11.8; Монолитный;27872000;"м. Ховрино или Речной вокзал
Ленинградское шоссе, дом 128, корп. 2.
Просторная  3-комнатная квартира, 2/22 эт.,  монолит, 107,2/66,1/11,8 кв.м.
Развитая инфраструктура, школы, детские сады в шаговой доступности, рядом спортивный комплекс ""Умка"", гипермаркеты ""Метро"", ""Атак"", ""Мега"". Канал им. Москвы.
Юридически и физически свободна.
Свободная продажа от Собственника., 6 фото";Без ремонта
279460284;2;м. Ховрино ;Москва, улица Дыбенко, 38к1;97.0/43.1/13.9; Монолитный;30070000;"Продается двухкомнатная квартира Номер 4, площадью 97.0 кв.м. на 5 этаже ЖК ""Корона Севера"".
Квартира предлагается с выполненным ремонтом и готова к проживанию. Отделка включает в себя: на полу ламинат, на стенах обои, установлены все межкомнатные двери, полностью выполнена электропроводка и установлена вся необходимая сантехника и приборы учета. 
Дом находится в экологически чистом районе города Москвы, всего в 2-х минутах ходьбы от метро Ховрино (уже открыто).

ЖК ""Корона Севера"" - это полная приватность и безопасность.

Охраняемая, огороженная территория, детская площадка, подземный паркинг, автомойка и шиномонтаж.
Развитая инфраструктура и транспортная доступность.

Рядом сады и школы, магазины, Конный центр, в пешей доступности Березовая аллея, Химкинский лесопарк и пляж. 
Юридически и физически свободна.
Возможна ипотека (без гос.поддержки)!
Свободная продажа от Собственника., 12 фото";Косметический
279551767;3;м. Трубная ;Москва, переулок Печатников, 19С1;178.8; Монолитный;72950400;"Продается трехкомнатная квартира на мансардном этаже, расположенная в тихом и уютном переулке ЦАО. Квартира находится в полностью новом реконструированном доме с сохранением исторического облика здания. Реконструкция была произведена на основании распоряжения правительства Москвы.
Фасад монолитно-кирпичного здания индивидуального проекта удачно вписан в сложившуюся окружающую застройку.

Высота потолков 3,4 м. Мансардные окна.
В здании установлены лифты OTIS.
Внизу расположен подземный паркинг с удобным въездом-выездом.

Дом находится в тихом переулке между Цветным бульваром и ул. Сретенка.
Внизу расположен подземный паркинг с удобным въездом-выездом.
Юридически и физически свободна. Свободная продажа от собственника. Более детальная информация предоставляется по телефону. Звоните!, 22 фото";Без ремонта
277081403;5;м. Кропоткинская ;Москва, улица Серафимовича, 2;167.0/112.0/14.3; Кирпичный;84999999;ЦЕНА ДЕЙСТВИТЕЛЬНА ДО 08 01 23 !!! Вашему вниманию 5-ти комнатная просторная квартира с душой в одном из самых престижных подъездов дома где по соседству проживают народные артисты, деятели искусства, политики, композиторы такие как внук автора музыки Гимна нашей страны А.В. Александров. Наш дом входит в книгу рекордов Гиннеса по числу знаменитых людей проживающих и ране проживавших. Из квартиры открываются потрясающие виды на старую Москву, Кремль, Храм Христа Спасителя, Москву реку, памятник Петру I, Патриарший и Каменный мост, Храм Святителя Николая. Внутри квартира оборудована теплыми полами, ванной комнатой с телевизором и Jacuzzi, встроенной акустикой в потолок, системами приточной вентиляции, фильтрации и кондиционирования воздуха, которые создают неповторимый уют. Так же в квартире имеется пожизненный безлимитный интернет и ДВА разных городских номера телефона что является приятным бонусом. Закрытый, охраняемый, патрулируемый двор имеет детскую и спортивную площадки, внутреннюю ..., 29 фото;Дизайнерский
278694767;1;м. Строгино ;Москва, Таллинская улица, 17К4;38.9/20.9/8.6; Панельный;10700000;Продается 1-комнатная квартира. ПОЛНАЯ СТОИМОСТЬ В ДОГОВОРЕ. Один собственник. Юридически и физически свободна (ни кто не прописан и не проживает). Оперативный показ., 17 фото;Косметический
279326046;2;м. Чеховская ;Москва, Тверская улица, 12С1;54.0/34.4/12.3; Кирпичный;31860000;"Предлагается светлая 2-х комнатная квартира на 5-ом этаже в уютном спокойном историческом месте, ЦАО, район Тверской. 
В квартире выполнена реконструкция с заменой полов из современных материалов, инженерии, возведены новые стены, проложено новое электроснабжение (15 кВт). Квартира продается под чистовую отделку. По договоренности можем выполнить чистовую отделку и меблировку. 
         Юридическая чистота - квартира вновь образована, имеет полный пакет документов и прозрачную историю.
	Современная планировка - кухня-гостиная, гардеробная, минимум коридоров, зонирование на общую и приватные зоны.
	Новые инженерные коммуникации - электробезопасность (полностью новая электропроводка), хороший напор воды, отсутствие проблем с канализацией.
	Высокие потолки - много пространства
	Тихий двор - все окна выходят во двор, а не на проезжую часть.
	Обновленный конструктив здания - шумоизоляция, перекрытия, стены.
	Большая электрическая мощность - с запасом хватит для использования все современных ..., 12 фото";Без ремонта
281424186;3;м. Белорусская ;Москва, Ленинградский проспект, 28;92.0/67.5/11.6; Кирпичный;25000000;"Дом расположен в двух остановках от Белорусского вокзала. Имеет свою историю. Некогда в нем жили знаменитые на весь Союз люди.
Что характерно для строений того времени, дом имеет толстые, кирпичные стены и высокие потолки. Зимой в такой квартире тепло, летом прохладно.  Территория двора закрыта, во дворе всегда есть парковочные места.
Квартира идеальна как для сдачи так и для проживания.  Грамотное зонирование. Зона кухни-гостиной  46 м2 отделена от спальной зоны коридором. 
Одной из спален 10 м2 принадлежит застекленный балкон в сторону тихого двора, другая 20.2 м2
окна выходят в тихий двор.
В такой большой гостиной хватит место как всем членам семьи, так и вашим гостям. Из гостиной есть выход на еще один балкон.
Квартиру можно использовать уже сейчас, если это необходимо, нужно просто занести и расставить мебель. Кухонная зона укомплектована техникой  Mile (посудомоечная машина, духовой шкаф). Стиральная машина тоже  Mile. 
Установлены очень качественные оконные блоки. Пол устлан пар ..., 18 фото";Косметический
280421937;3;м. Спортивная ;Москва, Малая Пироговская улица, 25;82.0/50.0/9.0; Кирпичный;48000000;"Продается 3-х комнатная квартира в Хамовниках, 82 метра

Просторная, уютная 3х комнатная квартира, общей площадью 82 метра после капитального,  современного ремонта, сделанного в легком французском стиле с сохранением аутентичных элементов квартиры, расположенная  в центральном округе Москвы, район Хамовники. 
Высота потолков 3.05 метра, две изолированные спальни, просторная и наполненная светом кухня-гостиная 40 метров с 2-мя большими окнами выходящими на тихую улицу, спальня с встроенным шкафом, мастер-спальня с собственной гардеробной и дополнительной шумоизоляцией комнаты, ванная  и  прихожая отделаны французской метлахской плиткой, ручной работы Winckelmans. Полный комплект бытовой техники, и мебели именитых европейских брендов, рассчитанный на проживание семьи из 3-х и более человек.

Тихая, придомовая территория закрыта двумя шлагбаумами, вход в подъезд оснащен домофоном, имеются спортивная и детская площадки, современного уровня. Территория дома граничит с лицеем 1535 ТОП-1 шко ..., 22 фото";Евроремонт
281542760;3;м. Кропоткинская ;Москва, улица Пречистенка, 17/9;112.8/90.0/15.0; Кирпичный;83000000;"Антиквариат, анфилада и изысканные аксессуары в истинной московской квартире с историей  все это предает эксклюзивность данному предложению. 

Великолепные виды на Пречистенку и на особняк Дениса Давыдова. 

Спальня со своей гардеробной и санузлом выходит в тихий двор. В квартире так же спланирована гостевая спальня/кабинет. 

В квартире выполнен новый дизайнерский ремонт в атмосфере старой Москвы. Заменены все коммуникации, поставлены деревянные окна, изготовлены дубовые подоконники и уложен паркет.

Выделены 15 кВт электрической мощности, проведен высокоскоростной интернет по оптике.

Парковка за шлагбаумом, охрана.

О доме:
Городская усадьба Н. Архарова-Бибикова-Д. Давыдова. В 1770-х годах усадьба перешла к московскому обер-полицмейстеру Николаю Архарову. После пожара 1812 года по проекту архитектора А.Л. Обера были проведены крупные строительные работы и дом был надстроен мезонином. В начале ХIХ века усадьба принадлежала генералу Бибикову, а в 1835 году дом купил гусар и поэт Денис ..., 26 фото";Дизайнерский
281188682;3;м. Арбатская ;Москва, Скатертный переулок, 22;131.0/80.0/20.0; Кирпичный;85000000;"Предлагается потрясающая квартира в тихом переулке.

Планировка: 2 спальни, кухня, гостиная, 3 санузла, гардеробная, постирочная.

В квартире выполнен качественный новый ремонт. С окон открываются приятные виды.

Парковка во дворе под шлагбаум. В соседнем доме есть возможность арендовать подземный паркинг.
Рядом с домом много посольств, что увеличивает безопасность жильцов данной локации., 20 фото";Дизайнерский
